со стажем управления от 15 до 20 лет (дейст. с 01.01.2022 г.), апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;950.0;-3,1;93.0;-16,2;1190.0;-8,0;7,2
Центральный федеральный округ;249.0;-2,0;27.0;-15,6;331.0;8,9;7,5
Белгородская область;8.0;33,3;1.0;100,0;12.0;71,4;7,7
Брянская область;4.0;-42,9;3.0;200,0;5.0;-37,5;37,5
Владимирская область;13.0;-7,1;3.0;200,0;15.0;-6,3;16,7
Воронежская область;15.0;-21,1;4.0;100,0;22.0;10,0;15,4
Ивановская область;7.0;стаб.;0.0;-100,0;12.0;20,0;стаб.
Калужская область;9.0;125,0;0.0;-100,0;11.0;175,0;стаб.
Костромская область;5.0;25,0;0.0;-100,0;5.0;66,7;стаб.
Курская область;11.0;83,3;2.0;100,0;21.0;23,5;8,7
Липецкая область;15.0;50,0;3.0;200,0;15.0;15,4;16,7
гор. Москва;79.0;2,6;4.0;-20,0;88.0;4,8;4,3
Московская область;28.0;-42,9;4.0;-71,4;46.0;-19,3;8,0
Орловская область;4.0;-20,0;0.0;-100,0;7.0;-41,7;стаб.
Рязанская область;12.0;33,3;2.0;100,0;21.0;133,3;8,7
Смоленская область;5.0;стаб.;0.0;-100,0;11.0;120,0;стаб.
Тамбовская область;8.0;14,3;1.0;стаб.;8.0;-11,1;11,1
Тверская область;9.0;-35,7;0.0;-100,0;10.0;-41,2;стаб.
Тульская область;7.0;-12,5;0.0;-100,0;7.0;-30,0;стаб.
Ярославская область;10.0;233,3;0.0;-100,0;15.0;400,0;стаб.
Северо-Западный федеральный округ;91.0;8,3;5.0;-37,5;110.0;8,9;4,3
Республика Карелия;2.0;стаб.;0.0;-100,0;3.0;-25,0;стаб.
Республика Коми;4.0;-33,3;0.0;-100,0;4.0;-60,0;стаб.
Архангельская область;5.0;-58,3;2.0;100,0;5.0;-58,3;28,6
Вологодская область;9.0;12,5;1.0;стаб.;15.0;50,0;6,3
Калининградская область;10.0;100,0;0.0;-100,0;11.0;175,0;стаб.
Ленинградская область;14.0;16,7;1.0;-66,7;18.0;стаб.;5,3
гор. Санкт-Петербург;31.0;10,7;1.0;100,0;35.0;12,9;2,8
Мурманская область;2.0;-33,3;0.0;-100,0;3.0;-40,0;стаб.
Новгородская область;5.0;-28,6;0.0;-100,0;5.0;-16,7;стаб.
Псковская область;9.0;800,0;0.0;-100,0;11.0;1000,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;128.0;5,8;16.0;-23,8;158.0;3,3;9,2
Республика Адыгея (Адыгея);3.0;-50,0;0.0;-100,0;4.0;-42,9;стаб.
Республика Калмыкия;7.0;75,0;0.0;-100,0;11.0;10,0;стаб.
Республика Крым;8.0;-33,3;0.0;-100,0;11.0;-35,3;стаб.
Краснодарский край;46.0;-17,9;7.0;-36,4;62.0;-4,6;10,1
Астраханская область;7.0;133,3;2.0;100,0;8.0;166,7;20,0
Волгоградская область;15.0;-11,8;0.0;-100,0;19.0;-20,8;стаб.
Ростовская область;34.0;78,9;7.0;75,0;34.0;47,8;17,1
гор. Севастополь;8.0;100,0;0.0;-100,0;9.0;125,0;стаб.
Северо-Кавказский федеральный округ;49.0;-5,8;5.0;стаб.;71.0;-10,1;6,6
Республика Дагестан;18.0;38,5;1.0;стаб.;29.0;61,1;3,3
Республика Ингушетия;3.0;стаб.;0.0;-100,0;9.0;28,6;стаб.
Кабардино-Балкарская Республика;2.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Карачаево-Черкесская Республика;2.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Республика Северная Осетия-Алания;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чеченская Республика;2.0;100,0;2.0;100,0;2.0;100,0;50,0
Ставропольский край;22.0;-12,0;2.0;-33,3;26.0;-27,8;7,1
Приволжский федеральный округ;188.0;-13,0;24.0;100,0;232.0;-28,2;9,4
Республика Башкортостан;24.0;-29,4;2.0;100,0;27.0;-40,0;6,9
Республика Марий Эл;6.0;100,0;0.0;-100,0;6.0;200,0;стаб.
Республика Мордовия;4.0;300,0;1.0;100,0;6.0;500,0;14,3
Республика Татарстан (Татарстан);26.0;-31,6;5.0;100,0;25.0;-43,2;16,7
Удмуртская Республика;16.0;220,0;0.0;-100,0;19.0;280,0;стаб.
Чувашская Республика - Чувашия;6.0;стаб.;3.0;100,0;5.0;-28,6;37,5
Пермский край;15.0;150,0;2.0;100,0;21.0;90,9;8,7
Кировская область;12.0;-20,0;1.0;-50,0;14.0;-72,0;6,7
Нижегородская область;18.0;-41,9;2.0;100,0;23.0;-45,2;8,0
Оренбургская область;13.0;18,2;1.0;100,0;21.0;-4,5;4,5
Пензенская область;14.0;40,0;0.0;-100,0;19.0;35,7;стаб.
Самарская область;8.0;-69,2;0.0;-100,0;12.0;-69,2;стаб.
Саратовская область;21.0;-12,5;7.0;40,0;25.0;-26,5;21,9
Ульяновская область;5.0;-16,7;0.0;-100,0;9.0;28,6;стаб.
Уральский федеральный округ;70.0;-23,9;6.0;-45,5;85.0;-30,9;6,6
Курганская область;3.0;-72,7;1.0;100,0;3.0;-83,3;25,0
Свердловская область;22.0;-18,5;2.0;-66,7;27.0;-25,0;6,9
Тюменская область;19.0;-13,6;2.0;100,0;24.0;-22,6;7,7
Челябинская область;17.0;-10,5;0.0;-100,0;17.0;-10,5;стаб.
Ханты-Мансийский автономный округ - Югра;7.0;-30,0;1.0;100,0;12.0;-25,0;7,7
Ямало-Ненецкий автономный округ;2.0;-33,3;0.0;-100,0;2.0;-33,3;стаб.
Сибирский федеральный округ;109.0;3,8;4.0;-69,2;126.0;-8,0;3,1
Республика Алтай;2.0;стаб.;0.0;-100,0;3.0;-50,0;стаб.
Республика Тыва;5.0;25,0;0.0;-100,0;5.0;-28,6;стаб.
Республика Хакасия;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Алтайский край;17.0;88,9;0.0;-100,0;19.0;18,8;стаб.
Красноярский край;21.0;-4,5;0.0;-100,0;26.0;8,3;стаб.
Иркутская область;14.0;-12,5;2.0;-75,0;15.0;-11,8;11,8
Кемеровская область - Кузбасс;13.0;-13,3;0.0;-100,0;16.0;-23,8;стаб.
Новосибирская область;17.0;30,8;2.0;100,0;18.0;38,5;10,0
Омская область;15.0;-25,0;0.0;-100,0;19.0;-34,5;стаб.
Томская область;2.0;-33,3;0.0;-100,0;2.0;-33,3;стаб.
Дальневосточный федеральный округ;66.0;20,0;6.0;-33,3;77.0;6,9;7,2
Республика Бурятия;5.0;25,0;1.0;стаб.;5.0;стаб.;16,7
Республика Саха (Якутия);9.0;125,0;2.0;стаб.;8.0;33,3;20,0
Забайкальский край;7.0;75,0;0.0;-100,0;9.0;50,0;стаб.
Приморский край;23.0;21,1;2.0;100,0;29.0;20,8;6,5
Камчатский край;4.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Хабаровский край;7.0;-36,4;0.0;-100,0;7.0;-46,2;стаб.
Амурская область;5.0;-44,4;0.0;-100,0;7.0;-46,2;стаб.
Магаданская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сахалинская область;3.0;100,0;1.0;100,0;5.0;100,0;16,7
Еврейская автономная область;3.0;стаб.;0.0;-100,0;3.0;-25,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
